matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
2816 TU 173;2026-01-15T11:39:06.000Z;478;NPR;16;206.156962;12;4;36.690907;10.508328;75.57;71.81;nuageux;3;route_secondaire;سليمان الجنوبية;ville;ولاية نابل;معتمدية سليمان
2156 TU 174;2026-01-15T10:44:48.000Z;475;NPR;16;123.6363636;11;4;36.711742;10.180333;65.49;62.28;nuageux;3;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
8564 TU 232;2026-01-15T10:31:09.000Z;1845;NPR;16;213.3629243;11;4;36.728423;9.201840;57.43;59.06;nuageux;3;route_principale;سيدي فرج;ville;ولاية باجة;معتمدية باجة الجنوبية
2770 TU 229;2026-01-15T09:30:05.000Z;868;NPR;16;327.2623302;10;4;36.761242;10.175478;77.58;78.83;nuageux;2;route_principale;تونس;ville;ولاية تونس;inconnu
2374 TU 173;2026-01-15T09:25:22.000Z;433;NPR;16;72.05725191;10;4;36.332387;9.139277;62.97;60.57;nuageux;3;route_principale;الكريب;ville;ولاية سليانة;معتمدية الكريب
3278 TU 198;2026-01-15T09:10:20.000Z;389;NPR;16;534.4582245;10;4;33.495120;11.083168;68.01;68.47;nuageux;3;route_secondaire;حمادي;ville;ولاية مدنين;معتمدية جرجيس
2222 TU 173;2026-01-15T09:08:53.000Z;203;NPR;16;255.557377;10;4;36.579823;10.492570;34.76;36.44;nuageux;2;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
8331 TU 215;2026-01-15T09:06:57.000Z;378;NPR;16;237.7567164;10;4;33.495100;11.083240;62.97;58.63;nuageux;3;route_secondaire;حمادي;ville;ولاية مدنين;معتمدية جرجيس
6062 TU 197;2026-01-15T09:06:16.000Z;262;NPR;16;211.0556382;10;4;36.091953;9.371707;45.34;49.04;nuageux;3;route_secondaire;سليانة;ville;ولاية سليانة;معتمدية سليانة الشمالية
966 TU 216;2026-01-15T09:04:45.000Z;388;NPR;16;478.6538462;10;4;34.422492;8.766873;40.30;38.21;ensoleillé;0;route_principale;حي الشباب;ville;ولاية قفصة;معتمدية قفصة الجنوبية
8585 TU 202;2026-01-15T07:41:08.000Z;1282;IVC;27;451.36;8;4;36.407580;10.560797;151.13;138.88;ensoleillé;0;route_principale;منارة الحمامات;ville;ولاية نابل;معتمدية الحمامات
2155 TU 174;2026-01-15T07:39:35.000Z;240;NPR;16;443.1750831;8;4;35.771298;10.691790;36.78;40.15;nuageux;3;route_principale;صقانص;ville;ولاية المنستير;معتمدية المنستير
601 TU 240;2026-01-15T07:34:49.000Z;1216;IVC;25;430;8;4;35.508607;11.022000;159.70;141.90;nuageux;3;route_principale;الزهراء;ville;ولاية المهدية;معتمدية المهدية
8335 TU 215;2026-01-15T07:33:38.000Z;474;NPR;16;209.2803738;8;4;35.590702;10.742743;70.53;67.91;nuageux;3;route_principale;جمال الغربية;ville;ولاية المنستير;معتمدية جمّال
8333 TU 215;2026-01-15T07:09:42.000Z;253;NPR;16;233.3448819;8;4;36.876958;10.182840;42.32;42.10;nuageux;2;route_secondaire;الغزالة;ville;ولاية أريانة;معتمدية رواد
597 TU 240;2026-01-15T05:36:06.000Z;530;IVC;25;593.4;6;4;36.407498;10.560785;166.25;146.20;ensoleillé;0;route_principale;منارة الحمامات;ville;ولاية نابل;معتمدية الحمامات
7444 TU 203;2026-01-15T05:05:27.000Z;420;IVC;27;142.5;6;4;36.690827;10.508110;134.01;136.80;ensoleillé;0;route_secondaire;سليمان;ville;ولاية نابل;معتمدية سليمان
